VALUE,COUNT,MICHI,US_200BPS,US_200EVT,US_200SCLASS,BPS_CODE,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL,DESCRIPTIO
42,2288,0,1637,7241,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,D,Succession Class D
43,19556,0,1639,7481,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C,Succession Class C
44,78422,0,1639,7481,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
45,10354,0,1625,7239,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,D,Succession Class D
46,9169,0,1625,7301,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,D,Succession Class D
47,2777,0,1625,7481,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
48,84619,0,1637,7481,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
49,496,0,1623,9317,7,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
50,1477,0,1639,7241,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C,Succession Class C
51,5045,0,1623,7301,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,D,Succession Class D
52,1521,0,1615,7240,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,E,Succession Class E
53,435,0,1621,7366,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,C,Succession Class C
54,7107,0,1623,7481,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
55,1223,0,1615,7238,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,E,Succession Class E
56,630,0,1621,7241,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C,Succession Class C
57,810,0,1615,9317,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
58,6666,0,1625,7299,120,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Developed-Roads,Developed-Roads,Urban,Urban
59,5560,0,1623,7299,120,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Developed-Roads,Developed-Roads,Urban,Urban
60,7820,0,1623,9056,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
61,80,0,1625,9089,3,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C,Succession Class C
62,2336,0,1621,7302,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C,Succession Class C
63,42713,0,1639,9056,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
64,672,0,1615,9117,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,E,Succession Class E
65,50873,0,1637,9056,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C,Succession Class C
66,564,0,1621,9089,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C,Succession Class C
67,5099,0,1623,7239,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,D,Succession Class D
68,1139,0,1639,9056,2,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B,Succession Class B
69,1187,0,1615,7362,5,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,E,Succession Class E
70,223,0,1621,7301,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C,Succession Class C
71,22,0,1615,9202,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern Great Lakes Coastal Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
72,260,0,1621,7481,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C,Succession Class C
73,3412,0,1639,7301,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,D,Succession Class D
74,79723,0,1637,9056,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
75,711,0,1639,7301,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C,Succession Class C
76,185,0,1621,9056,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C,Succession Class C
77,5,0,1615,9617,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Shrubland,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
78,936,0,1621,9089,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
79,1012,0,1615,9112,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,B,Succession Class B
80,62,0,1621,7362,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,C,Succession Class C
81,460,0,1621,9112,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,C,Succession Class C
82,309,0,1621,7481,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
83,216,0,1639,9112,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,C,Succession Class C
84,5164,0,1639,9112,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,D,Succession Class D
85,578,0,1620,7481,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D,Succession Class D
86,2242,0,1620,9056,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
87,4452,0,1623,7362,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,D,Succession Class D
88,55,0,1623,9117,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Floodplain Forest,Riparian,D,Succession Class D
89,16988,0,1620,9112,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,D,Succession Class D
90,6435,0,1625,9112,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,D,Succession Class D
91,3146,0,1620,9089,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,D,Succession Class D
92,14657,0,1623,9112,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,D,Succession Class D
93,92,0,1639,7366,2,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B,Succession Class B
94,2039,0,1621,9112,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
95,2121,0,1639,7241,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,D,Succession Class D
96,279,0,1639,9317,7,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE,Uncharacteristic Exotic Vegetation
97,1766,0,1639,9817,7,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
98,32,0,1621,9118,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
99,3657,0,1637,9055,1,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian Bog,Riparian,A,Succession Class A
100,2431,0,1639,7362,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer,D,Succession Class D
101,23789,0,1637,7481,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C,Succession Class C
102,220,0,1615,7975,180,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture,Agriculture
103,189,0,1615,7362,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,B,Succession Class B
104,1623,0,1615,7362,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
105,1300,0,1639,9089,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C,Succession Class C
106,2287,0,1615,7239,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
107,3833,0,1625,7362,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,D,Succession Class D
108,2550,0,1637,7301,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,D,Succession Class D
109,440,0,1639,7362,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer,C,Succession Class C
110,236,0,1623,9089,3,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C,Succession Class C
111,1494,0,1639,9117,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,D,Succession Class D
112,778,0,1615,7240,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
113,1019,0,1615,7934,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE,Uncharacteristic Exotic Vegetation
114,902,0,1637,9117,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,D,Succession Class D
115,2422,0,1639,9120,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Wet Meadow,Riparian,A,Succession Class A
116,3448,0,1637,7302,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C,Succession Class C
117,1054,0,1625,9056,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D,Succession Class D
118,2209,0,1615,7298,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Developed-High Intensity,Developed-High Intensity,Urban,Urban
119,773,0,1639,9117,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,C,Succession Class C
120,1552,0,1639,9118,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Freshwater Marsh,Riparian,A,Succession Class A
121,254,0,1639,7296,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
122,414,0,1639,7481,2,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B,Succession Class B
123,875,0,1625,7238,4,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,D,Succession Class D
124,707,0,1639,7299,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Developed-Roads,Developed-Roads,Urban,Urban
125,2428,0,1620,7366,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,D,Succession Class D
126,4368,0,1620,7299,120,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Developed-Roads,Developed-Roads,Urban,Urban
127,952,0,1620,7362,4,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,D,Succession Class D
128,3044,0,1637,7366,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer,C,Succession Class C
129,76,0,1639,9202,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Northern Great Lakes Coastal Marsh,Riparian,A,Succession Class A
130,1870,0,1625,9817,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE,Uncharacteristic Exotic Vegetation
131,34,0,1639,9203,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Northern Great Lakes Interdunal Wetland,Riparian,A,Succession Class A
132,86,0,1639,7407,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Pine Barrens,Conifer,D,Succession Class D
133,8,0,1620,9203,1,13441,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Northern Great Lakes Interdunal Wetland,Riparian,A,Succession Class A
